AD,02,"Canillo"
AD,03,"Encamp"
AD,04,"La Massana"
AD,05,"Ordino"
AD,06,"Sant Julia de Loria"
AD,07,"Andorra la Vella"
AD,08,"Escaldes-Engordany"
AE,01,"Abu Dhabi"
AE,02,"Ajman"
AE,03,"Dubai"
AE,04,"Fujairah"
AE,05,"Ras Al Khaimah"
AE,06,"Sharjah"
AE,07,"Umm Al Quwain"
AF,01,"Badakhshan"
AF,02,"Badghis"
AF,03,"Baghlan"
AF,05,"Bamian"
AF,06,"Farah"
AF,07,"Faryab"
AF,08,"Ghazni"
AF,09,"Ghowr"
AF,10,"Helmand"
AF,11,"Herat"
AF,13,"Kabol"
AF,14,"Kapisa"
AF,17,"Lowgar"
AF,18,"Nangarhar"
AF,19,"Nimruz"
AF,23,"Kandahar"
AF,24,"Kondoz"
AF,26,"Takhar"
AF,27,"Vardak"
AF,28,"Zabol"
AF,29,"Paktika"
AF,30,"Balkh"
AF,31,"Jowzjan"
AF,32,"Samangan"
AF,33,"Sar-e Pol"
AF,34,"Konar"
AF,35,"Laghman"
AF,36,"Paktia"
AF,37,"Khowst"
AF,38,"Nurestan"
AF,39,"Oruzgan"
AF,40,"Parvan"
AF,41,"Daykondi"
AF,42,"Panjshir"
AG,01,"Barbuda"
AG,03,"Saint George"
AG,04,"Saint John"
AG,05,"Saint Mary"
AG,06,"Saint Paul"
AG,07,"Saint Peter"
AG,08,"Saint Philip"
AG,09,"Redonda"
AL,40,"Berat"
AL,41,"Diber"
AL,42,"Durres"
AL,43,"Elbasan"
AL,44,"Fier"
AL,45,"Gjirokaster"
AL,46,"Korce"
AL,47,"Kukes"
AL,48,"Lezhe"
AL,49,"Shkoder"
AL,50,"Tirane"
AL,51,"Vlore"
AM,01,"Aragatsotn"
AM,02,"Ararat"
AM,03,"Armavir"
AM,04,"Geghark'unik'"
AM,05,"Kotayk'"
AM,06,"Lorri"
AM,07,"Shirak"
AM,08,"Syunik'"
AM,09,"Tavush"
AM,10,"Vayots' Dzor"
AM,11,"Yerevan"
AO,01,"Benguela"
AO,02,"Bie"
AO,03,"Cabinda"
AO,04,"Cuando Cubango"
AO,05,"Cuanza Norte"
AO,06,"Cuanza Sul"
AO,07,"Cunene"
AO,08,"Huambo"
AO,09,"Huila"
AO,12,"Malanje"
AO,13,"Namibe"
AO,14,"Moxico"
AO,15,"Uige"
AO,16,"Zaire"
AO,17,"Lunda Norte"
AO,18,"Lunda Sul"
AO,19,"Bengo"
AO,20,"Luanda"
AR,01,"Buenos Aires"
AR,02,"Catamarca"
AR,03,"Chaco"
AR,04,"Chubut"
AR,05,"Cordoba"
AR,06,"Corrientes"
AR,07,"Distrito Federal"
AR,08,"Entre Rios"
AR,09,"Formosa"
AR,10,"Jujuy"
AR,11,"La Pampa"
AR,12,"La Rioja"
AR,13,"Mendoza"
AR,14,"Misiones"
AR,15,"Neuquen"
AR,16,"Rio Negro"
AR,17,"Salta"
AR,18,"San Juan"
AR,19,"San Luis"
AR,20,"Santa Cruz"
AR,21,"Santa Fe"
AR,22,"Santiago del Estero"
AR,23,"Tierra del Fuego"
AR,24,"Tucuman"
AT,01,"Burgenland"
AT,02,"Karnten"
AT,03,"Niederosterreich"
AT,04,"Oberosterreich"
AT,05,"Salzburg"
AT,06,"Steiermark"
AT,07,"Tirol"
AT,08,"Vorarlberg"
AT,09,"Wien"
AU,01,"Australian Capital Territory"
AU,02,"New South Wales"
AU,03,"Northern Territory"
AU,04,"Queensland"
